Company Name,Description,Day,Internship Recruitment Periods,Engineering Fields
Parallèle 54 Expert Conseil Inc.,"Firme de génie conseilCivil, Structure, Mécanique",23 Janvier 2025,['E25'],"['Civil', 'Électrique', 'Mécanique']"
ITC Technologies,"ITC Technologies, spécialistes CVAC, possède plus de 50 ans d'expérience dans son domaine. ITC Technologies offre aux entrepreneurs une panoplie d'appareils CVAC pour combler tous leurs besoins en matière de chauffage, de ventilation et de climatisation. Notre entreprise vend aussi des appareils spécialisés, tels que des déshumidificateurs, des thermopompes et des refroidisseurs.",23 Janvier 2025,"['A25', 'H25', 'E25']",['Mécanique']
DWB Consultants,"DWB Consultants est une firme d’ingénierie fondée en 2002, qui œuvre aujourd’hui dans le domaine de la structure, de la mécanique et de l’électricité du bâtiment, de l’ingénierie civile, de la mécanique industrielle, du domaine récréotouristique ainsi que dans le développement durable et de l’efficacité énergétique. Notre stratégie multidisciplinaire nous permet d’élargir notre pratique et de proposer des solutions optimisées et coordonnées. Notre savoir-faire se confirme par le succès de nos réalisations de même que par la fidélité de nos clients et partenaires. Nous sommes privilégiés de prendre part dans une multitude de secteurs, publics et privés (50/50), ce qui renforce notre expertise sur de multiples fronts et favorise le développement complet de notre équipe.",23 Janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Électrique', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
AtkinsRéalis Canada Inc.,"Issue de l’intégration d’organisations établies de longue date, la première en 1911, AtkinsRéalis est une société de calibre mondiale de services d’ingénierie et d’énergie nucléaire, dédiée à façonner un meilleur avenir pour notre planète et ceux qui l’habitent. Nous créons des solutions durables qui lient individus, données et technologie pour transformer les infrastructures et les systèmes énergétiques du monde. Nous déployons des capacités mondiales à l’échelle locale pour fournir à nos clients des services uniques et complets couvrant tout le cycle de vie d’un actif — consultation, services-conseils et services environnementaux, réseaux intelligents et cybersécurité, conception et ingénierie, approvisionnement, gestion de projet et de construction, exploitation et entretien, mise hors service et capital. Nous offrons l’ampleur et la profondeur de nos capacités dans des secteurs stratégiques tels que les Services d’ingénierie, l’Énergie nucléaire et le Capital. Vous trouverez des nouvelles et informations pertinentes à www.atkinsrealis.com ou en nous suivant sur LinkedIn.",23 Janvier 2025,"['A25', 'H25', 'E25']","['Biomédical', 'Chimique', 'Civil', 'Électrique', 'Industriel', 'Géologique', 'Mécanique', 'Mines', 'Physique', 'Génie énergétique et nucléaire', 'Mineral', 'Métallurgique', 'Technologie Biomédicale', 'Automatisation Industrielle', 'Électricité de bâtiment', 'Mécanique du bâtiment', 'Sécurité incendie']"
CDPQ Infra,"CDPQ Infra agit à titre de maître d’œuvre de grands projets d’infrastructures publiques. Nous assumons la responsabilité pour toutes les phases du projet : planification, financement, réalisation et exploitation.",23 Janvier 2025,['E25'],"['Civil', 'Informatique', 'Mécanique']"
Nortek Air Solutions Québec Inc.,"Nortek Air Solution, c’est quoi ça? C’est une entreprise qui améliore la qualité de vie des gens. Elle fabrique des projets sur mesure pour la clientèle. Des IMMENSES projets. On peut même entrer dedans! Ici, on fait des systèmes d’échangeurs d’air, de chauffage, de ventilation et de climatisation de toutes sortes. On offre des produits et des solutions ÉCOÉNERGÉTIQUES et durables qui surpassent les attentes de nos clients grâce à l’engagement de notre MERVEILLEUSE équipe envers la qualité, l’expérience client et l’excellence opérationnelle. Nos principales valeurs sont l’entrepreneurship, la confiance et l’initiative vers l’action. Nous avons L’INCROYABLE mission de créé un AVENIR MEILLEUR à chaque jour.",23 Janvier 2025,['E25'],"['Industriel', 'Mécanique', 'DesignFabrication', 'Automatisation Industrielle', 'Mécanique du bâtiment']"
Stantec Experts-conseils ltée,"Chef de file mondial dans le domaine du développement durable, Stantec offre des services-conseils en ingénierie, en architecture et en environnement. Les différents points de vue de nos partenaires et des parties prenantes – clients, pairs de l’industrie et personnes touchées par nos réalisations – nous motivent à faire preuve de créativité et d’innovation, surtout lorsqu’il s’agit d’enjeux importants comme les changements climatiques, la transformation numérique et la résilience des villes et des infrastructures. Nous sommes des concepteurs, des ingénieurs, des scientifiques, des chargés de projet et des conseillers stratégiques. Nous innovons ensemble, là où se rejoignent intérêt collectif, créativité et besoins des clients, afin de réaliser des projets qui repoussent les limites. Stantec est inscrite à la bourse de Toronto (TSX) et à la bourse de New York (NYSE) sous le symbole STN. Visitez-nous à stantec.com ou suivez-nous sur les médias sociaux.",23 Janvier 2025,['E25'],"['Chimique', 'Civil', 'Électrique', 'Industriel', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment', 'Sécurité incendie']"
NSW Contrôle,"NSW Contrôle se spécialise dans l’installation, l’entretien et la maintenance de systèmes de contrôle informatisés pour régulariser la qualité de l’air, la ventilation, le taux d’humidité, la climatisation et le chauffage de bâtiments de tout genre, toujours en regard des normes applicables. De plus, NSW Contrôle offre un service complet d’intégration de différents systèmes, dont le contrôle d’éclairage, le contrôle d’accès, les refroidisseurs, les compteurs d’électricité et de gaz naturel",23 Janvier 2025,['E25'],"['Électrique', 'Mécanique']"
SCV Enercor,"Fondée à Victoriaville il y a près de 50 ans, SCV Enercor Inc. se spécialise en mécanique et électricité du bâtiment dans la réalisation de projets de différentes envergures. Facilitée par une approche collaborative, la réalisation des projets de construction est bien plus qu’une mission, c’est notre ADN. Notre entreprise se spécialise dans les projets industriel, institutionnel et commercial.",23 Janvier 2025,['E25'],"['Électrique', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
Groupe Duroking,"Duroking, leader de la construction, se distingue par son expertise diversifiée. Nous couvrons un large spectre, allant du Génie Civil au Bâtiment, en passant par les agrégats de construction. Nos activités s'étendent au-delà des chantiers avec des services connexes tels que l'Arpentage, le Déneigement, des opérations logistiques et mécaniques internes. De la Baie-James à la Grande Région de Montréal, notre présence régionale atteste de notre envergure exceptionnelle.",23 Janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Mécanique', 'Mines']"
